Timestamp,Set,Serving?,Won?,Cause,Player,Rotation,Notes,Videos,,,,,official scores
13:00,2,Serving,Yes,opp_err,Avy,4,,,,,,,
,2,Serving,Yes,aced_on_them_suckas,Avy,4,,,,,,,
,2,Serving,Yes,aced_on_them_suckas,Avy,4,,,,,,,
13:44,2,Serving,No,opp_point,Christie,4,idrk deep ball tough coverage,,,,,,
14:14,2,Receiving,No,handling_bump,Michelle,4,did this hit ceiling? if yes it's avy fault/opp_point,,,,,,
,2,Receiving,No,attack_net,Michelle,4,not actually net but not over,,,,,,
,2,Receiving,Yes,opp_err,,4,"ish blocked but no one to follow up, guy touched net on hit",,,,,,
,2,Serving,No,opp_point,Sofia,5,tough skrrt over net,,,,,,
,2,Receiving,Yes,opp_err,,5,serve net,,,,,,
,2,Serving,No,attack_net,Alec,6,good rally,,,,,,
16:43,2,Receiving,Yes,opp_err,Sofia,6,incredible team hustle,,,,,,
,2,Serving,Yes,aced_on_them_suckas,Sofia,1,deep balls really cook em,,,,,,
,3,Serving,No,attack_net,Avy,1,,,,,,,
,3,Receiving,Yes,our_point,Alec,1,down hit,,,,,,
,3,Serving,Yes,our_point,Avy,2,lob over,,,,,,
1:24,3,Serving,No,serve_err,Alec,2,,,,,,,
,3,Receiving,Yes,opp_err,,2,served net,,,,,,
,3,Serving,Yes,opp_err,Ish,3,conversion save of bad set,,,,,,
,3,Serving,No,opp_point,Alec,3,slow react to tip,,,,,,
,3,Receiving,No,handling_set,Michelle,3,tripped maybe ?,,,,,,
,3,Receiving,Yes,opp_err,Avy,3,tip + guy messed up block,,,,,,
,3,Serving,Yes,aced_on_them_suckas,Avy,4,,,,,,,
,3,Serving,Yes,opp_err,Avy,4,,,,,,,
,3,Serving,Yes,aced_on_them_suckas,Avy,4,,,,,,,
3:49,3,Serving,No,attack_net,Michelle,4,,,,,,,
,3,Receiving,No,handling_bump,Christie,4,last bump over out,,,,,,
,3,Receiving,Yes,opp_err,Ish,4,crazy christie save of bad pass,,,,,,
4:50,3,Serving,Yes,our_point,Ish,5,spikeeeee,,,,,,
,3,Serving,No,serve_err,Michelle,5,,,,,,,
,3,Receiving,No,coverage,Christie,5,coverage of tip,,,,,,
,3,Receiving,No,aced_on_us,Christie,5,,,,,,,
,3,Receiving,No,coverage,Avy,5,didn't get there in time,,,,,,
,3,Receiving,Yes,opp_err,,5,,,,,,,
,3,Serving,No,attack_net,Christie,6,,,,,,,
,3,Receiving,Yes,opp_err,Christie,6,,,,,,,
7:40,3,Serving,Yes,our_point,Avy,1,great hit,,,,,,
,3,Serving,Yes,our_point,Alec,1,great hit,,,,,,
,3,Serving,No,handling_set,Alec,1,overpass/ish miss on getting the down hit,,,,,,
,3,Receiving,Yes,opp_err,Avy,1,,,,,,,
,3,Serving,Yes,aced_on_them_suckas,Alec,2,"""BEAUTIFUL serve"" says coach joseph",,,,,,
,3,Serving,Yes,aced_on_them_suckas,Alec,2,,,,,,,
,3,Serving,No,handling_bump,Michelle,2,"cant tell if this was set or bump, low pass backwards",,,,,,
,3,Receiving,No,opp_point,Avy,2,ball skrrted over,,,,,,
,3,Receiving,No,attack_net,Christie,2,,,,,,,
,3,Receiving,Yes,opp_err,Michelle,2,"good hit from michelle, hit back out",,,,,,
,3,Serving,Yes,our_point,Avy,3,deep hit to back,,,,,,
,3,Serving,No,coverage,"Alec, Sofia",3,hesitated between alec/sofia,,,,,,
,3,Receiving,No,aced_on_us,Christie,3,bump tight to net? hard to tell,,,,,,
,3,Receiving,Yes,our_point,Avy,3,,,,,,,
,3,Serving,Yes,opp_err,Michelle,4,"another good michelle hit, hit back out",,,,,,
,3,Serving,No,opp_point,Christie,4,,,,,,,
,3,Receiving,Yes,our_point,Ish,4,tip skrrted over,,,,,,
13:36,3,Serving,No,coverage,"Avy, Michelle",5,they tipped,,,,,,
,3,Receiving,Yes,our_point,Alec,5,hard tip sideways after godly christie save,,,,,,
,3,Serving,No,serve_err,Ish,6,,,,,,,
,3,Receiving,No,handling_bump,Ish,6,"hit ceiling on ish pass, alec no salvage",,,,,,
,3,Receiving,No,attack_net,Sofia,6,set from behind,,,,,,
,3,Receiving,Yes,opp_err,Alec,6,tipped,,,,,,
,3,Serving,Yes,aced_on_them_suckas,Sofia,1,,,,,,,
