Timestamp,Set,Serving?,Won?,Cause,Player,Rotation,Notes,Touches,Videos,,,official scores,,,,,
0:30,3,Receiving,No,aced_on_us,"Ish, Sofia",1,coverage,,https://www.youtube.com/watch?v=-QJCEA5WagY,,,,rotation:,,,,
0:55,3,Receiving,No,aced_on_us,Ish,1,,Ish:r0,,,,,1,Avy,Amber,Alec,
1:12,3,Receiving,No,aced_on_us,Alec,1,,Alec:r0|Michelle:r0,,,,,,Michelle,Ish,Sofia,Jess
1:29,3,Receiving,Yes,our_point,Avy,1,,Avy:r3|Amber:s3|Avy:a3,,,,,2,Jess,Avy,Amber,
1:58,3,Serving,No,handling_bump,Avy,1,thats tough,Sofia:v2|o|Sofia:r3|Amber:s1|o|Michelle:r1|Amber:r1|o|Alec:r1|Avy:r0|Amber:r0,,,,,,Ish,Sofia,Alec,Michelle
2:19,3,Receiving,No,aced_on_us,Ish,1,,Ish:r0,,,,,3,Michelle,Jess,Avy,
2:27,3,Receiving,Yes,opp_err,,1,,,,,,,,Sofia,Alec,Amber,Ish
2:49,3,Serving,Yes,our_point,Amber,2,,Alec:v2|o|Jess:b2|Alec:r3|Avy:s3|Amber:a2,,,,,4,Ish,Michelle,Jess,
3:12,3,Serving,No,serve_err,Alec,2,,Alec:v0,,,,,,Alec,Amber,Avy,Sofia
3:34,3,Receiving,Yes,our_point,Avy,2,,Ish:r2|Avy:a2,,,,,5,Sofia,Ish,Michelle,
3:41,3,Serving,No,coverage,Amber,3,,Amber:v1|o|Amber:r0,,,,,,Amber,Avy,Jess,Alec
4:12,3,Receiving,No,attack_net,Avy,3,,Alec:r3|Jess:s3|Michelle:a2|o|Alec:r3|Jess:s2|Avy:a0,,,,,6,Alec,Sofia,Ish,
4:28,3,Receiving,Yes,opp_err,,3,,,,,,,,Avy,Jess,Michelle,Amber
4:43,3,Serving,Yes,aced_on_them_suckas,Avy,4,,Avy:v2,,,,,7,Amber,Alec,Sofia,
4:48,3,Serving,No,serve_err,Avy,4,,Avy:v0,,,,,,Jess,Michelle,Ish,Avy
5:09,3,Receiving,Yes,opp_err,,4,,,,,,,,,,,
5:33,3,Serving,Yes,aced_on_them_suckas,Jess,5,,Jess:v2,,,,,,,,,
6:10,3,Serving,No,handling_set,Ish,5,,Jess:v2|o|Avy:r3|Ish:s2|Michelle:a1|o|Avy:r1|Michelle:s1|Ish:a1|o|Ish:r1|Avy:a2|o|Amber:r2|Ish:s1|o,,,,,,,,,
6:44,3,Receiving,No,attack_out,Sofia,5,,Amber:r3|Ish:s3|Sofia:a0,,,,,,,,,
6:49,3,Receiving,Yes,opp_err,,5,,,,,,,,,,,
7:07,3,Serving,Yes,aced_on_them_suckas,Michelle,6,,Michelle:v2,,,,,,,,,
7:23,3,Serving,No,attack_net,Sofia,6,,Michelle:v2|o|Michelle:r3|Sofia:s1|o|Ish:r1|Michelle:s2|Sofia:a0,,,,,,,,,
